,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
20,Foot Locker,1185732,2020-02-02 00:00:00,Northeast,New York,New York,Women's Street Footwear,40,900,360000,125999.99999999999,0.35,Outlet
21,Foot Locker,1185732,2020-02-03 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.49999999999,0.35,Outlet
22,Foot Locker,1185732,2020-02-04 00:00:00,Northeast,New York,New York,Men's Apparel,60,825,495000,148500,0.3,Outlet
23,Foot Locker,1185732,2020-02-05 00:00:00,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet
24,Foot Locker,1185732,2020-02-06 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1220,732000,366000,0.5,Outlet
25,Foot Locker,1185732,2020-02-07 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,925,508750.00000000006,152625,0.3,Outlet
26,Foot Locker,1185732,2020-02-08 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500,0.35,Outlet
27,Foot Locker,1185732,2020-02-09 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750,0.35,Outlet
28,Foot Locker,1185732,2020-02-10 00:00:00,Northeast,New York,New York,Men's Apparel,60,875,525000,157500,0.3,Outlet
29,Foot Locker,1185732,2020-03-03 00:00:00,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet
30,Foot Locker,1185732,2020-03-04 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet
31,Foot Locker,1185732,2020-03-05 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet
32,Foot Locker,1185732,2020-03-06 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet
33,Foot Locker,1185732,2020-03-07 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet
34,Foot Locker,1185732,2020-03-08 00:00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
35,Foot Locker,1185732,2020-03-09 00:00:00,Northeast,New York,New York,Women's Apparel,65,1050,682500,170625,0.25,Outlet
36,Foot Locker,1185732,2020-03-10 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1275,765000,382500,0.5,Outlet
37,Foot Locker,1185732,2020-03-11 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet
38,Foot Locker,1185732,2020-03-12 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet
39,Foot Locker,1185732,2020-03-13 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet
40,Foot Locker,1185732,2020-03-14 00:00:00,Northeast,New York,New York,Men's Apparel,60,925,555000,166500,0.3,Outlet
41,Foot Locker,1185732,2020-03-15 00:00:00,Northeast,New York,New York,Women's Apparel,65,1100,715000,178750,0.25,Outlet
42,Foot Locker,1185732,2020-03-16 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet
43,Foot Locker,1185732,2020-03-17 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet
44,Foot Locker,1185732,2020-03-18 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet
45,Foot Locker,1185732,2020-03-31 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,50,925,462500,161875,0.35,Outlet
46,Walmart,1185732,2020-04-17 00:00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
47,Walmart,1185732,2020-04-18 00:00:00,Northeast,New York,New York,Women's Apparel,65,1075,698750,174687.5,0.25,Outlet
48,Walmart,1185732,2020-04-19 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1200,720000,360000,0.5,Outlet
49,Walmart,1185732,2020-04-20 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet
50,Walmart,1185732,2020-04-21 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet
51,Walmart,1185732,2020-04-22 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet
52,Walmart,1185732,2020-04-23 00:00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
53,Walmart,1185732,2020-04-24 00:00:00,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet
54,Walmart,1185732,2020-04-25 00:00:00,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet
55,Walmart,1185732,2020-04-26 00:00:00,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.25,Outlet
56,Walmart,1185732,2020-04-27 00:00:00,Northeast,New York,New York,Men's Street Footwear,65,1150,747500,373750,0.5,Outlet
57,Walmart,1185732,2020-04-28 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,975,536250.0000000001,160875.00000000003,0.3,Outlet
58,Walmart,1185732,2020-04-29 00:00:00,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,920,506000.00000000006,177100,0.35,Outlet
59,Walmart,1185732,2020-04-30 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,495000.00000000006,173250,0.35,Outlet
60,Walmart,1185732,2020-05-01 00:00:00,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet
61,Walmart,1185732,2020-05-02 00:00:00,Northeast,New York,New York,Women's Apparel,70,975,682500,170625,0.25,Outlet
62,Walmart,1185732,2020-05-03 00:00:00,Northeast,New York,New York,Men's Street Footwear,65,1200,780000,390000,0.5,Outlet
63,Walmart,1185732,2020-05-04 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet
64,Walmart,1185732,2020-05-05 00:00:00,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,950,522500.00000000006,182875,0.35,Outlet
65,Walmart,1185732,2020-05-06 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,495000.00000000006,173250,0.35,Outlet
66,Walmart,1185732,2020-05-07 00:00:00,Northeast,New York,New York,Men's Apparel,65,900,585000,175500,0.3,Outlet
67,Walmart,1185732,2020-07-18 00:00:00,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.25,Outlet
68,Sports Direct,1197831,2020-07-19 00:00:00,Northeast,New York,New York,Men's Street Footwear,25,900,225000,78750,0.35,Outlet
69,Sports Direct,1197831,2020-07-20 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,35,900,315000,110250,0.35,Outlet
70,Sports Direct,1197831,2020-07-21 00:00:00,Northeast,New York,New York,Women's Street Footwear,35,700,245000,85750,0.35,Outlet
71,Sports Direct,1197831,2020-07-22 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,35,700,245000,110250,0.45,Outlet
72,Sports Direct,1197831,2020-07-23 00:00:00,South,Texas,Houston,Men's Apparel,40,550,220000,66000,0.3,Outlet
73,Sports Direct,1197831,2020-07-24 00:00:00,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet
74,Sports Direct,1197831,2020-07-25 00:00:00,South,Texas,Houston,Men's Street Footwear,25,850,212500,74375,0.35,Outlet
75,Sports Direct,1197831,2020-07-26 00:00:00,South,Texas,Houston,Men's Athletic Footwear,35,850,297500,104125,0.35,Outlet
76,Sports Direct,1197831,2020-07-27 00:00:00,South,Texas,Houston,Women's Street Footwear,35,675,236250,82687.5,0.35,Outlet
77,Sports Direct,1197831,2020-07-28 00:00:00,South,Texas,Houston,Women's Athletic Footwear,35,625,218750,98437.5,0.45,Outlet
78,Sports Direct,1197831,2020-07-29 00:00:00,South,Texas,Houston,Men's Apparel,40,500,200000,60000,0.3,Outlet
79,Sports Direct,1197831,2020-07-30 00:00:00,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet
80,Sports Direct,1197831,2020-07-31 00:00:00,South,Texas,Houston,Men's Street Footwear,30,875,262500,91875,0.35,Outlet
81,Sports Direct,1197831,2020-08-01 00:00:00,South,Texas,Houston,Men's Athletic Footwear,40,875,350000,122499.99999999999,0.35,Outlet
82,Sports Direct,1197831,2020-08-02 00:00:00,South,Texas,Houston,Women's Street Footwear,35,700,245000,85750,0.35,Outlet
83,Sports Direct,1197831,2020-08-03 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,600,240000,108000,0.45,Outlet
84,Sports Direct,1197831,2020-08-04 00:00:00,South,Texas,Houston,Men's Apparel,45,500,225000,67500,0.3,Outlet
85,Sports Direct,1197831,2020-08-05 00:00:00,South,Texas,Houston,Women's Apparel,40,650,260000,130000,0.5,Outlet
86,Sports Direct,1197831,2020-08-06 00:00:00,South,Texas,Houston,Men's Street Footwear,30,900,270000,94500,0.35,Outlet
87,Sports Direct,1197831,2020-08-07 00:00:00,South,Texas,Houston,Men's Athletic Footwear,40,900,360000,125999.99999999999,0.35,Outlet
88,Sports Direct,1197831,2020-08-08 00:00:00,South,Texas,Houston,Women's Street Footwear,35,725,253750,88812.5,0.35,Outlet
89,Sports Direct,1197831,2020-08-09 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,625,250000,112500,0.45,Outlet
90,Walmart,1197831,2020-08-10 00:00:00,South,Texas,Houston,Men's Apparel,45,525,236250,70875,0.3,Outlet
91,Walmart,1197831,2020-08-11 00:00:00,South,Texas,Houston,Women's Apparel,40,800,320000,160000,0.5,Outlet
92,Walmart,1197831,2020-08-12 00:00:00,South,Texas,Houston,Men's Street Footwear,30,925,277500,97125,0.35,Outlet
93,Walmart,1197831,2020-08-13 00:00:00,South,Texas,Houston,Men's Athletic Footwear,40,925,370000,129499.99999999999,0.35,Outlet
94,Walmart,1197831,2020-08-14 00:00:00,South,Texas,Houston,Women's Street Footwear,35,775,271250,94937.5,0.35,Outlet
95,Walmart,1197831,2020-08-15 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet
96,Walmart,1197831,2020-08-16 00:00:00,South,Texas,Houston,Men's Apparel,45,600,270000,81000,0.3,Outlet
97,Walmart,1197831,2020-08-17 00:00:00,South,Texas,Houston,Women's Apparel,40,950,380000,190000,0.5,Outlet
98,Walmart,1197831,2020-08-18 00:00:00,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet
99,Walmart,1197831,2020-08-19 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet
100,Walmart,1197831,2020-08-20 00:00:00,South,Texas,Houston,Women's Street Footwear,40,800,320000,112000,0.35,Outlet
101,Walmart,1197831,2020-08-21 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,750,300000,135000,0.45,Outlet
102,Walmart,1197831,2020-08-22 00:00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet
103,Walmart,1197831,2020-08-23 00:00:00,South,Texas,Houston,Women's Apparel,50,1000,500000,250000,0.5,Outlet
104,Walmart,1197831,2020-08-24 00:00:00,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet
105,Walmart,1197831,2020-08-25 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet
106,Walmart,1197831,2020-08-26 00:00:00,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet
107,Walmart,1197831,2020-08-27 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet
108,Walmart,1197831,2020-08-28 00:00:00,South,Texas,Houston,Men's Apparel,45,700,315000,94500,0.3,Outlet
109,Walmart,1197831,2020-08-29 00:00:00,South,Texas,Houston,Women's Apparel,50,975,487500,243750,0.5,Outlet
110,Walmart,1197831,2020-08-30 00:00:00,South,Texas,Houston,Men's Street Footwear,40,925,370000,129499.99999999999,0.35,Outlet
111,Walmart,1197831,2020-08-31 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,925,416250,145687.5,0.35,Outlet
112,Walmart,1197831,2020-09-01 00:00:00,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet
113,Walmart,1197831,2020-09-02 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,650,260000,117000,0.45,Outlet
114,Walmart,1197831,2020-09-03 00:00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet
115,Walmart,1197831,2020-09-04 00:00:00,South,Texas,Houston,Women's Apparel,50,900,450000,225000,0.5,Outlet
116,Walmart,1197831,2020-09-05 00:00:00,South,Texas,Houston,Men's Street Footwear,45,850,382500,133875,0.35,Outlet
117,Walmart,1197831,2020-09-06 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,850,382500,133875,0.35,Outlet
118,Walmart,1197831,2020-09-07 00:00:00,South,Texas,Houston,Women's Street Footwear,50,900,450000,157500,0.35,Outlet
119,Walmart,1197831,2020-09-08 00:00:00,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,140625,0.45,Outlet
120,Walmart,1197831,2020-09-09 00:00:00,South,Texas,Houston,Men's Apparel,45,625,281250,84375,0.3,Outlet
121,Walmart,1197831,2020-09-10 00:00:00,South,Texas,Houston,Women's Apparel,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet
122,Walmart,1197831,2020-09-11 00:00:00,South,Texas,Houston,Men's Street Footwear,45,800,360000,125999.99999999999,0.35,Outlet
123,Walmart,1197831,2020-09-12 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,800,360000,125999.99999999999,0.35,Outlet
124,Walmart,1197831,2020-09-13 00:00:00,South,Texas,Houston,Women's Street Footwear,50,750,375000,131250,0.35,Outlet
125,Walmart,1197831,2020-09-14 00:00:00,South,Texas,Houston,Women's Athletic Footwear,50,600,300000,135000,0.45,Outlet
126,Walmart,1197831,2020-09-15 00:00:00,South,Texas,Houston,Men's Apparel,45,575,258750,77625,0.3,Outlet
127,Walmart,1197831,2020-09-16 00:00:00,South,Texas,Houston,Women's Apparel,55.00000000000001,750,412500.00000000006,206250.00000000003,0.5,Outlet
128,Walmart,1197831,2020-10-20 00:00:00,South,Texas,Houston,Men's Street Footwear,45,900,405000,141750,0.35,Outlet
129,Walmart,1197831,2020-10-21 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,900,405000,141750,0.35,Outlet
130,Walmart,1197831,2020-10-22 00:00:00,South,Texas,Houston,Women's Street Footwear,50,825,412500,144375,0.35,Outlet
131,Walmart,1197831,2020-10-23 00:00:00,South,Texas,Houston,Women's Athletic Footwear,50,675,337500,151875,0.45,Outlet
132,Walmart,1197831,2020-10-24 00:00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet
133,Walmart,1197831,2020-10-25 00:00:00,South,Texas,Houston,Women's Apparel,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet
134,Walmart,1197831,2020-10-26 00:00:00,South,Texas,Houston,Men's Street Footwear,45,950,427500,149625,0.35,Outlet
135,Walmart,1197831,2020-10-27 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet
136,Walmart,1197831,2020-10-28 00:00:00,South,Texas,Houston,Women's Street Footwear,50,850,425000,148750,0.35,Outlet
137,Walmart,1197831,2020-10-29 00:00:00,South,Texas,Houston,Women's Athletic Footwear,50,700,350000,157500,0.45,Outlet
138,Walmart,1197831,2020-10-30 00:00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet
139,Walmart,1197831,2020-10-31 00:00:00,South,Texas,Houston,Women's Apparel,55.00000000000001,900,495000.00000000006,247500.00000000003,0.5,Outlet
140,West Gear,1128299,2020-11-01 00:00:00,South,Texas,Houston,Men's Street Footwear,40,775,310000,108500.00000000001,0.35000000000000003,Outlet
141,West Gear,1128299,2020-11-02 00:00:00,South,Texas,Houston,Men's Athletic Footwear,50,775,387500,77500,0.2,Outlet
142,West Gear,1128299,2020-11-03 00:00:00,South,Texas,Houston,Women's Street Footwear,50,775,387500,135625,0.35000000000000003,Outlet
143,West Gear,1128299,2020-11-04 00:00:00,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,93750,0.3,Outlet
144,West Gear,1128299,2020-11-05 00:00:00,West,California,San Francisco,Men's Apparel,55.00000000000001,575,316250.00000000006,158125.00000000003,0.5,Outlet
145,West Gear,1128299,2020-11-06 00:00:00,West,California,San Francisco,Women's Apparel,50,775,387500,58125.00000000001,0.15000000000000002,Outlet
146,West Gear,1128299,2020-11-07 00:00:00,West,California,San Francisco,Men's Street Footwear,40,825,330000,115500.00000000001,0.35000000000000003,Outlet
147,West Gear,1128299,2020-11-08 00:00:00,West,California,San Francisco,Men's Athletic Footwear,50,725,362500,72500,0.2,Outlet
148,West Gear,1128299,2020-11-09 00:00:00,West,California,San Francisco,Women's Street Footwear,50,725,362500,126875.00000000001,0.35000000000000003,Outlet
149,West Gear,1128299,2020-11-10 00:00:00,West,California,San Francisco,Women's Athletic Footwear,50,575,287500,86250,0.3,Outlet
150,West Gear,1128299,2020-11-11 00:00:00,West,California,San Francisco,Men's Apparel,55.00000000000001,500,275000.00000000006,137500.00000000003,0.5,Outlet
151,West Gear,1128299,2020-11-12 00:00:00,West,California,San Francisco,Women's Apparel,50,700,350000,52500.00000000001,0.15000000000000002,Outlet
152,West Gear,1128299,2020-11-13 00:00:00,West,California,San Francisco,Men's Street Footwear,50,850,425000,148750,0.35000000000000003,Outlet
153,West Gear,1128299,2020-11-14 00:00:00,West,California,San Francisco,Men's Athletic Footwear,60,700,420000,84000,0.2,Outlet
154,West Gear,1128299,2020-11-15 00:00:00,West,California,San Francisco,Women's Street Footwear,60,700,420000,147000,0.35000000000000003,Outlet
155,West Gear,1128299,2020-12-22 00:00:00,West,California,San Francisco,Women's Athletic Footwear,60,600,360000,108000,0.3,Outlet
156,West Gear,1128299,2020-12-23 00:00:00,West,California,San Francisco,Men's Apparel,65,500,325000,162500,0.5,Outlet
157,West Gear,1128299,2020-12-24 00:00:00,West,California,San Francisco,Women's Apparel,60,700,420000,63000.00000000001,0.15000000000000002,Outlet
158,West Gear,1128299,2020-12-25 00:00:00,West,California,San Francisco,Men's Street Footwear,60,875,525000,183750.00000000003,0.35000000000000003,Outlet
159,West Gear,1128299,2020-12-26 00:00:00,West,California,San Francisco,Men's Athletic Footwear,65,675,438750,87750,0.2,Outlet
160,West Gear,1128299,2020-12-27 00:00:00,West,California,San Francisco,Women's Street Footwear,65,725,471250,164937.50000000003,0.35000000000000003,Outlet
161,West Gear,1128299,2020-12-28 00:00:00,West,California,San Francisco,Women's Athletic Footwear,60,625,375000,112500,0.3,Outlet
162,West Gear,1128299,2020-12-29 00:00:00,West,California,San Francisco,Men's Apparel,65,525,341250,170625,0.5,Outlet
163,West Gear,1128299,2020-12-30 00:00:00,West,California,San Francisco,Women's Apparel,80,700,560000,84000.00000000001,0.15000000000000002,Outlet
164,West Gear,1128299,2020-12-31 00:00:00,West,California,San Francisco,Men's Street Footwear,60,900,540000,216000,0.4,Outlet
165,West Gear,1128299,2021-01-01 00:00:00,West,California,San Francisco,Men's Athletic Footwear,65,750,487500,121875,0.25,Outlet
166,West Gear,1128299,2021-01-02 00:00:00,West,California,San Francisco,Women's Street Footwear,65,750,487500,195000,0.4,Outlet
167,West Gear,1128299,2021-01-03 00:00:00,West,California,San Francisco,Women's Athletic Footwear,60,650,390000,136500,0.35,Outlet
168,West Gear,1128299,2021-01-04 00:00:00,West,California,San Francisco,Men's Apparel,65,550,357500,196625.00000000003,0.55,Outlet
169,West Gear,1128299,2021-01-05 00:00:00,West,California,San Francisco,Women's Apparel,80,725,580000,116000,0.2,Outlet
170,West Gear,1128299,2021-01-06 00:00:00,West,California,San Francisco,Men's Street Footwear,60,975,585000,234000,0.4,Outlet
171,West Gear,1128299,2021-01-07 00:00:00,West,California,San Francisco,Men's Athletic Footwear,65,825,536250,134062.5,0.25,Outlet
172,West Gear,1128299,2021-01-08 00:00:00,West,California,San Francisco,Women's Street Footwear,65,825,536250,214500,0.4,Outlet
173,West Gear,1128299,2021-01-09 00:00:00,West,California,San Francisco,Women's Athletic Footwear,60,700,420000,147000,0.35,Outlet
174,West Gear,1128299,2021-01-10 00:00:00,West,California,San Francisco,Men's Apparel,65,575,373750,205562.50000000003,0.55,Outlet
175,West Gear,1128299,2021-01-11 00:00:00,West,California,San Francisco,Women's Apparel,80,875,700000,140000,0.2,Outlet
176,West Gear,1128299,2021-01-12 00:00:00,West,California,San Francisco,Men's Street Footwear,60,1025,615000,215250.00000000003,0.35000000000000003,Outlet
177,West Gear,1128299,2021-01-13 00:00:00,West,California,San Francisco,Men's Athletic Footwear,65,875,568750,113750,0.2,Outlet
178,West Gear,1128299,2021-01-14 00:00:00,West,California,San Francisco,Women's Street Footwear,65,825,536250,187687.50000000003,0.35000000000000003,Outlet
179,West Gear,1128299,2021-01-15 00:00:00,West,California,San Francisco,Women's Athletic Footwear,60,725,435000,130500,0.3,Outlet
180,West Gear,1128299,2021-01-16 00:00:00,West,California,San Francisco,Men's Apparel,65,775,503750,251875,0.5,Outlet
181,West Gear,1128299,2021-01-17 00:00:00,West,California,San Francisco,Women's Apparel,80,775,620000,93000.00000000001,0.15000000000000002,Outlet
182,West Gear,1128299,2021-01-18 00:00:00,West,California,San Francisco,Men's Street Footwear,65,975,633750,221812.50000000003,0.35000000000000003,Outlet
183,West Gear,1128299,2021-01-19 00:00:00,West,California,San Francisco,Men's Athletic Footwear,70,925,647500,129500,0.2,Outlet
184,West Gear,1128299,2021-01-20 00:00:00,West,California,San Francisco,Women's Street Footwear,65,800,520000,182000.00000000003,0.35000000000000003,Outlet
185,West Gear,1128299,2021-01-21 00:00:00,West,California,San Francisco,Women's Athletic Footwear,65,750,487500,146250,0.3,Outlet
186,West Gear,1128299,2021-01-22 00:00:00,West,California,San Francisco,Men's Apparel,75,750,562500,281250,0.5,Outlet
187,West Gear,1128299,2021-01-23 00:00:00,West,California,San Francisco,Women's Apparel,80,725,580000,87000.00000000001,0.15000000000000002,Outlet
188,West Gear,1128299,2021-01-24 00:00:00,West,California,San Francisco,Men's Street Footwear,55.00000000000001,925,508750.00000000006,152625.00000000003,0.30000000000000004,Outlet
189,West Gear,1128299,2021-01-25 00:00:00,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,925,555000.0000000001,83250.00000000001,0.15,Outlet
190,West Gear,1128299,2021-01-26 00:00:00,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,426250.00000000006,127875.00000000004,0.30000000000000004,Outlet
191,West Gear,1128299,2021-01-27 00:00:00,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,725,398750.00000000006,99687.5,0.24999999999999997,Outlet
192,West Gear,1128299,2021-01-28 00:00:00,West,California,San Francisco,Men's Apparel,65,725,471250,212062.50000000003,0.45000000000000007,Outlet
193,West Gear,1128299,2021-01-29 00:00:00,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet
194,West Gear,1128299,2021-01-30 00:00:00,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet
195,West Gear,1128299,2021-01-31 00:00:00,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
196,West Gear,1128299,2021-02-01 00:00:00,West,California,San Francisco,Women's Street Footwear,55.00000000000001,700,385000.00000000006,115500.00000000003,0.30000000000000004,Outlet
197,West Gear,1128299,2021-02-02 00:00:00,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,675,371250.00000000006,92812.5,0.24999999999999997,Outlet
198,West Gear,1128299,2021-02-03 00:00:00,West,California,San Francisco,Men's Apparel,65,650,422500,190125.00000000003,0.45000000000000007,Outlet
199,West Gear,1128299,2021-02-04 00:00:00,West,California,San Francisco,Women's Apparel,70,700,490000,49000,0.1,Outlet
200,West Gear,1128299,2021-02-05 00:00:00,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet
201,West Gear,1128299,2021-02-06 00:00:00,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
202,West Gear,1128299,2021-02-07 00:00:00,West,California,San Francisco,Women's Street Footwear,55.00000000000001,725,398750.00000000006,119625.00000000003,0.30000000000000004,Outlet
203,West Gear,1128299,2021-02-08 00:00:00,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,700,385000.00000000006,96250,0.24999999999999997,Outlet
